,0
0,-0.03609147652196925
1,-0.06540476595346667
2,-0.12965403054811905
3,-0.009705853088235801
4,-0.03307256419323119
5,0.05916717617519012
6,0.008710838463054824
7,0.0745635497832987
8,-0.0738236328956051
9,0.046253226253385335
10,-0.010336437722868193
11,0.017828422251454746
12,-0.02945913890582219
13,0.07252153934929507
14,0.024725862254617224
15,0.0480139636932281
16,-0.028513480118883962
17,-0.004950183754512039
18,-0.05715493707057415
19,0.08067749716447858
20,0.06316720652206435
21,0.04561234155633441
22,0.024728245596132386
23,0.09994139640241108
24,0.028688645499551232
25,0.005753967405304563
26,-0.057340150803202886
27,-0.015103390166118313
28,-0.07810555414698725
29,-0.06118699709053005
30,-0.05346134168806956
31,-0.09066968404108033
32,-0.05180551289613338
33,-0.06591192230859923
34,-0.03556431045286191
35,-0.02144919972924227
36,-0.009531569761974302
37,-0.01878634935550484
38,0.013274192739025442
39,-0.0029236576892489644
40,0.051175710156327124
41,-0.003370654566247298
42,0.03649478102441409
43,-0.08256342856068788
44,0.02297684318592629
45,0.04806199882196269
46,-0.007357206537763297
47,0.11301468530510236
48,0.035344915125176
49,-0.007232478291214278
50,-0.05117806698204801
51,0.003286382567005238
