,周数,中位数,众数,移动平均值,实际收益值
0,0,-0.001383940884641979,-0.04499042756860243,0.006054204380876304,-0.03520456707897239
1,1,-0.001383940884641979,-0.04499042756860243,0.005638922965132654,0.042406311637080835
2,2,0.0013151550762297386,-0.04499042756860243,0.010051849097827645,-0.12456638284452852
3,3,-0.009413679428828745,-0.12456638284452852,-0.010585665955696665,0.09149855907780977
4,4,0.0013151550762297386,-0.12456638284452852,0.003063232708944556,-0.014851485148514828
5,5,-0.007948208613964853,-0.12456638284452852,0.0012105599709056373,0.08107202680067006
6,6,0.02068068977883298,-0.12456638284452852,0.013745192744181692,0.11434769135419887
7,7,0.048714692914741994,-0.12456638284452852,0.025284455087543067,-0.02697441601779752
8,8,0.048714692914741994,-0.12456638284452852,0.024365256163587576,0.01400400114318362
9,9,0.028205156390132227,-0.12456638284452852,0.02026334885866562,-0.008455467869222017
10,10,0.0027742666369808015,-0.12456638284452852,0.013327627105390788,-0.0227401932916429
11,11,0.0027742666369808015,-0.12456638284452852,0.014574064484123735,0.09598603839441527
12,12,0.0027742666369808015,-0.12456638284452852,0.01993203715985718,-0.00743099787685778
13,13,0.00328650163316292,-0.02697441601779752,0.03164557565662425,0.09064171122994655
14,14,0.00328650163316292,-0.02697441601779752,0.031559890871837935,-0.011767590095611593
15,15,0.00328650163316292,-0.02697441601779752,0.03186828037712826,-0.04911932522947169
16,16,-0.007943232873039899,-0.04911932522947169,0.018849145174114082,0.02008870336551013
17,17,-0.007943232873039899,-0.04911932522947169,0.00942324637524521,-0.5851662404092072
18,18,-0.007943232873039899,-0.5851662404092072,-0.04639593606389576,-0.02342786683107269
19,19,-0.010111528982416806,-0.5851662404092072,-0.050139122861321384,-0.026515151515151512
20,20,-0.017253891693627246,-0.5851662404092072,-0.05194509122591433,-0.04215304798962389
21,21,-0.017597728463342142,-0.5851662404092072,-0.05388637669571243,0.055517941773865966
22,22,-0.017597728463342142,-0.5851662404092072,-0.057933186357767376,0.009621552277100728
23,23,-0.017597728463342142,-0.5851662404092072,-0.05622793134237153,0.062261753494282
24,24,-0.017597728463342142,-0.5851662404092072,-0.05906592711593798,0.011961722488038447
25,25,-0.00690315727698598,-0.5851662404092072,-0.05669299585757298,0.09101654846335691
26,26,0.010791637382569587,-0.5851662404092072,-0.04267940848829012,-0.03358613217768153
27,27,-0.00690315727698598,-0.5851662404092072,-0.048046892042609285,0.02242152466367705
28,28,0.010791637382569587,-0.04215304798962389,0.012711884464679149,-0.0361842105263158
29,29,0.010791637382569587,-0.04215304798962389,0.011436250095154837,-0.01934015927189988
30,30,0.010791637382569587,-0.04215304798962389,0.012153749319480003,-0.0011600928074245694
31,31,0.010791637382569587,-0.0361842105263158,0.016253044837699935,0.012195121951219563
32,32,0.010791637382569587,-0.0361842105263158,0.011920762855435292,0.06196213425129098
33,33,0.012078422219629004,-0.0361842105263158,0.01715482105285432,-0.036196650459211326
34,34,0.005400814840306939,-0.036196650459211326,0.007308980657504988,-0.015134529147982039
35,35,-0.008147310977703303,-0.036196650459211326,0.004599355493902937,-0.010813887307911284
36,36,-0.012974208227946663,-0.036196650459211326,-0.0055836880832238825,-0.0322209436133486
37,37,-0.012974208227946663,-0.036196650459211326,-0.00544716922679059,-0.017241379310344775
38,38,-0.016187954229163408,-0.036196650459211326,-0.009413459624192771,-0.010889292196007242
39,39,-0.01301191067199464,-0.036196650459211326,-0.0068839677911619185,0.037308868501529015
40,40,-0.010851589751959264,-0.036196650459211326,-0.001219065013819027,0.005306603773584897
41,41,-0.010851589751959264,-0.036196650459211326,-0.0005723953557180814,0.0005865102639295021
42,42,-0.010851589751959264,-0.036196650459211326,-0.0017332565244470867,0.019343493552168925
43,43,-0.010851589751959264,-0.036196650459211326,-0.005995120594359293,-0.02472685451408854
44,44,-0.010851589751959264,-0.0322209436133486,-0.004848140999847014,-0.009433962264150952
45,45,-0.010123924786031118,-0.0322209436133486,-0.0042780843114639065,0.010119047619047509
46,46,-0.004423726000110725,-0.0322209436133486,-0.002184790818768026,0.02121390689451971
47,47,0.0029465570187571996,-0.02472685451408854,0.003158694232018805,0.024235429890363633
48,48,0.007712825696316202,-0.02472685451408854,0.007306375152089646,-0.045070422535211305
49,49,0.007712825696316202,-0.045070422535211305,0.003888262118169239,0.02654867256637164
50,50,0.007712825696316202,-0.045070422535211305,0.002812242524653502,0.02413793103448286
51,51,0.014731270585608216,-0.045070422535211305,0.004695375250743298,-0.006172839506172808
52,52,0.014731270585608216,-0.045070422535211305,0.0040194402737330675,-0.02879728966685497
53,53,0.0019731040564373503,-0.045070422535211305,-0.0007946380481693227,0.03779069767441873
54,54,0.01566647725678361,-0.045070422535211305,0.005457117170681403,-0.008403361344537934
55,55,0.01566647725678361,-0.045070422535211305,0.005560177262642706,0.010169491525423712
56,56,0.01569169920997171,-0.045070422535211305,0.005565221653280327,0.033557046979865855
57,57,0.017153711279953285,-0.045070422535211305,0.00679953566181494,0.0389610389610389
58,58,0.017153711279953285,-0.045070422535211305,0.008272096568882467,0.002604166666666704
59,59,0.017153711279953285,-0.02879728966685497,0.01303955548907027,-0.004155844155844067
60,60,0.006386829096045208,-0.02879728966685497,0.009969103816848696,0.08398539384454874
61,61,0.006386829096045208,-0.02879728966685497,0.01595385009785529,0.013955726660250198
62,62,0.012062609092836955,-0.02879728966685497,0.017966706714497585,0.03464641670621739
63,63,0.023756386820058026,-0.008403361344537934,0.024311077351804822,-0.03761467889908258
64,64,0.012062609092836955,-0.03761467889908258,0.016770539694454693,0.10057197330791227
65,65,0.023756386820058026,-0.03761467889908258,0.027668073159699706,-0.015591165006496294
66,66,0.023756386820058026,-0.03761467889908258,0.025092007506507707,0.039595248570171514
67,67,0.024301071683233793,-0.03761467889908258,0.025695827665538278,-0.008463817181548849
68,68,0.008279946663458451,-0.03761467889908258,0.0209533420512795,-0.03926589842082792
69,69,0.004899941252203065,-0.03926589842082792,0.016766335542530042,0.031097290093291836
70,70,0.022526508376771018,-0.03926589842082792,0.020291648967443635,0.010340370529943922
71,71,0.01214804859509706,-0.03926589842082792,0.01292714663598315,-0.03240938166311292
72,72,0.0009382766741975364,-0.03926589842082792,0.00829063580364684,-0.004407227853680098
73,73,-0.006435522517614473,-0.03926589842082792,0.0043852713476570885,0.09428950863213807
74,74,0.002966571338131912,-0.03926589842082792,0.017575690100779154,-0.031957928802588964
75,75,-0.006435522517614473,-0.03926589842082792,0.0043226998897290285,0.050982030923526905
76,76,0.002966571338131912,-0.03926589842082792,0.01098001948273135,0.028628230616302285
77,77,0.002966571338131912,-0.03926589842082792,0.009883317687344425,-0.09199845380749913
78,78,0.002966571338131912,-0.09199845380749913,0.0015298540247493998,0.015751383567475564
79,79,0.013045877048709742,-0.09199845380749913,0.007031582223579748,0.002933780385582577
80,80,0.006637075457763249,-0.09199845380749913,0.004215231252808821,0.006686167989970754
81,81,0.004809974187776666,-0.09199845380749913,0.0038498109988115057,-0.02947281029472814
82,82,0.004809974187776666,-0.09199845380749913,0.0041434681356499825,0.0213857998289136
83,83,0.01121877577872316,-0.09199845380749913,0.0067227709039093505,0.0016750418760470144
84,84,0.004809974187776666,-0.09199845380749913,-0.0025386757716997534,0.0037625418060200605
85,85,0.005224354897995407,-0.09199845380749913,0.0010333712891611498,-0.0012494793835902181
86,86,0.003348161095801319,-0.09199845380749913,-0.004189779741550563,-0.01626355296080069
87,87,0.0023044111308147958,-0.09199845380749913,-0.00867895809926086,0.008054260279779622
88,88,0.003348161095801319,-0.02947281029472814,0.001326313309467015,0.004625735912531515
89,89,0.003348161095801319,-0.02947281029472814,0.00021374854397260965,0.06655504395144411
90,90,0.004194138859275788,-0.02947281029472814,0.006575874900558764,0.06828885400313965
91,91,0.004194138859275788,-0.02947281029472814,0.012736143501875652,0.0312270389419545
92,92,0.006339998096155569,-0.01626355296080069,0.018806128425543918,0.04168151050944062
93,93,0.006339998096155569,-0.01626355296080069,0.02083569949359662,0.05095759233926136
94,94,0.01964064961086706,-0.01626355296080069,0.02576395453991805,0.0969736413927758
95,95,0.03645427472569756,-0.01626355296080069,0.035085064498593624,0.03441115396024908
96,96,0.038046332234844854,-0.01626355296080069,0.038651127832977555,-0.08431316317751643
97,97,0.038046332234844854,-0.08431316317751643,0.03184616681130598,0.01409332915753219
98,98,0.038046332234844854,-0.08431316317751643,0.03245007369908124,0.006485484867202003
99,99,0.038046332234844854,-0.08431316317751643,0.032636048594548286,0.02608162012887371
100,100,0.03281909645110179,-0.08431316317751643,0.028588706212291252,0.03738038277511962
101,101,0.03281909645110179,-0.08431316317751643,0.025497859089489244,-0.056788699913519716
102,102,0.030246387044561396,-0.08431316317751643,0.016696285203941823,0.025977995110024493
103,103,0.0260298076194491,-0.08431316317751643,0.01512593366400021,-0.0011915400655346782
104,104,0.020035662133778342,-0.08431316317751643,0.009911020423520607,0.049806143751864054
105,105,0.020035662133778342,-0.08431316317751643,0.005194270659429433,-0.05909090909090924
106,106,0.010289407012367097,-0.08431316317751643,-0.0041559356456864005,-0.03925120772946852
107,107,0.010289407012367097,-0.05909090909090924,0.0003502598991183922,-0.08610936517913269
108,108,0.0026469724008336623,-0.08610936517913269,-0.009670009534548097,0.060522696011004185
109,109,0.012393227522244907,-0.08610936517913269,-0.004266288420167878,0.032101167315175046
110,110,0.012393227522244907,-0.08610936517913269,-0.003664333701537744,-0.033301916431039864
111,111,-0.017246728248287272,-0.08610936517913269,-0.010732563622153694,0.08514787130321745
112,112,0.012393227522244907,-0.08610936517913269,0.0034610934995200236,-0.014375561545372985
113,113,-0.007783550805453831,-0.08610936517913269,-0.0005742621660197254,-0.07566089334548755
114,114,-0.023838738988206425,-0.08610936517913269,-0.008021197494015012,0.042406311637080835
115,115,-0.023838738988206425,-0.08610936517913269,-0.008761180705493333,0.019236833806370212
116,116,0.0024306361304986136,-0.08610936517913269,-0.000928406415765386,0.04207920792079206
117,117,0.025669000560772627,-0.08610936517913269,0.00720463514926067,-0.0029691211401425602
118,118,0.025669000560772627,-0.07566089334548755,0.015518659553159684,0.036628945801072184
119,119,0.025669000560772627,-0.07566089334548755,0.013129284532166483,0.019247342717609726
120,120,0.01924208826198997,-0.07566089334548755,0.011843902072409951,0.03382187147688847
121,121,0.0265346070972491,-0.07566089334548755,0.018556280863202785,0.012268266085060056
122,122,0.01924208826198997,-0.07566089334548755,0.011268320341387044,0.014543495825478026
123,123,0.01924208826198997,-0.07566089334548755,0.014160226078472149,-0.02601539686753395
124,124,0.01924208826198997,-0.02601539686753395,0.019124775726267508,0.041973289724720614
125,125,0.01924208826198997,-0.02601539686753395,0.019081473535031482,-0.03583573110122934
126,126,0.016895419271543876,-0.03583573110122934,0.013574217044271527,-0.016006511123168646
127,127,0.013405880955269041,-0.03583573110122934,0.007765645139875457,-0.01626688723462926
128,128,0.013405880955269041,-0.03583573110122934,0.006435868530426786,-0.0518497757847534
129,129,-0.0018691225190542952,-0.0518497757847534,-0.002412003628155771,0.11114395506946513
130,130,-0.0018691225190542952,-0.0518497757847534,0.006777657607029769,-0.03511572226656026
131,131,-0.016136699178898956,-0.0518497757847534,-0.00011610176731510352,0.005514199062586041
132,132,-0.016136699178898956,-0.0518497757847534,-0.000791508469562505,-0.08116259939676448
133,133,-0.021141142051081606,-0.08116259939676448,-0.010362117991786756,-0.11877051626380176
