,周数,中位数,众数,移动平均值,实际收益值
0,0,0.07206234882852203,-0.11801957397812324,0.04706110108274707,0.017964071856287515
1,1,0.055107463561582214,-0.11801957397812324,0.03517969671822384,-0.023529411764705962
2,2,0.02935290265318959,-0.11801957397812324,0.0248053651674217,-0.24497991967871488
3,3,0.018120417129188125,-0.24497991967871488,-0.0037355310908788407,-0.1755319148936169
4,4,-0.0027826699542092236,-0.24497991967871488,-0.028267311002127926,0.11612903225806452
5,5,-0.0027826699542092236,-0.24497991967871488,-0.035631427791147266,-0.07707129094412338
6,6,-0.05030035135441467,-0.24497991967871488,-0.05156285595098017,0.04697286012526088
7,7,-0.0027826699542092236,-0.24497991967871488,-0.03506361254064176,0.09272183449651063
8,8,-0.0027826699542092236,-0.24497991967871488,-0.027619105331199573,-0.09945255474452569
9,9,-0.0027826699542092236,-0.24497991967871488,-0.027243847985139326,-0.03242147922998972
10,10,-0.027975445497347838,-0.24497991967871488,-0.0379198772519553,-0.026178010471204185
11,11,-0.02929974485059695,-0.24497991967871488,-0.042334085484704465,0.12365591397849446
12,12,-0.02929974485059695,-0.24497991967871488,-0.02761555291038443,0.022009569377990472
13,13,-0.0020842205466068565,-0.1755319148936169,-0.0009166040047138925,0.030898876404494388
14,14,0.02645422289124243,-0.09945255474452569,0.01972647512509724,0.00908265213442322
15,15,0.015546110756206846,-0.09945255474452569,0.009021837112733105,0.03870387038703868
16,16,0.02645422289124243,-0.09945255474452569,0.020599353245849314,0.08232235701906422
17,17,0.02645422289124243,-0.09945255474452569,0.024134302935229647,-0.08406725380304249
18,18,0.015546110756206846,-0.09945255474452569,0.006455394105274336,-0.0026223776223775665
19,19,0.015546110756206846,-0.08406725380304249,0.016138411817489148,0.10692375109553029
20,20,0.02645422289124243,-0.08406725380304249,0.03007293485004115,0.024544734758511377
21,21,0.027721805581502883,-0.08406725380304249,0.03514520937301271,0.08114374034003097
22,22,0.027721805581502883,-0.08406725380304249,0.030893992009166354,0.0071479628305932555
23,23,0.027721805581502883,-0.08406725380304249,0.02940783135442664,0.05039034776437196
