,周数,中位数,众数,移动平均值,实际收益值
0,0,0.008481207109426644,-0.15789473684210528,0.014048296653837878,-0.051546391752577206
1,1,0.007124154173455731,-0.15789473684210528,0.008007132655885112,-0.21237458193979938
2,2,0.00708677744039586,-0.21237458193979938,-0.013845439773595697,-0.08598726114649687
3,3,-0.016375092872207796,-0.21237458193979938,-0.030304427896979007,0.033681765389082574
4,4,-0.016375092872207796,-0.21237458193979938,-0.02774596795726103,-0.11910112359550568
5,5,-0.04518648319294086,-0.21237458193979938,-0.04953559838910076,0.03826530612244907
6,6,-0.016375092872207796,-0.21237458193979938,-0.02991959409264533,0.20270270270270252
7,7,-0.013799814983051661,-0.21237458193979938,-0.010256962711263968,-0.06332992849846775
8,8,-0.02015972354268801,-0.21237458193979938,-0.01270729809778029,-0.04034896401308607
9,9,-0.04594767788283163,-0.21237458193979938,-0.02868115320644976,0.019318181818181807
10,10,-0.04594767788283163,-0.21237458193979938,-0.027872029491351702,0.07469342251950946
11,11,-0.01051539109745213,-0.21237458193979938,-0.015248048064143033,0.036307053941908675
12,12,0.02649997360363219,-0.11910112359550568,0.009620115524027778,0.020020020020019947
13,13,0.02685089270455126,-0.11910112359550568,0.020220843640679456,-0.03140333660451426
14,14,0.019669100919100877,-0.11910112359550568,0.013712333441319774,0.03951367781155021
15,15,0.028163536980964313,-0.06332992849846775,0.029573813582025366,-0.09746588693957116
16,16,0.019669100919100877,-0.09746588693957116,0.016000694275823336,-0.0010799136069114242
17,17,0.00911913410563519,-0.09746588693957116,-0.004377567355138057,-0.03135135135135126
18,18,0.00911913410563519,-0.09746588693957116,-0.0011797096404264067,-0.07812500000000011
19,19,0.00911913410563519,-0.09746588693957116,-0.00495731323911781,0.026634382566586033
20,20,0.00947005320655426,-0.09746588693957116,-0.004225693164277387,0.024764150943396117
21,21,0.00947005320655426,-0.09746588693957116,-0.00921862032188872,0.11162255466052942
22,22,0.00947005320655426,-0.09746588693957116,-0.0016870702500266482,0.006211180124223654
23,23,0.002565633258656115,-0.09746588693957116,-0.0030679542396062757,0.039094650205761215
24,24,0.015487665533809886,-0.09746588693957116,0.003981844441421271,-0.06336633663366324
25,25,0.002565633258656115,-0.09746588693957116,-0.006306157003100074,0.028541226215644772
26,26,0.015487665533809886,-0.07812500000000011,0.006294554312421518,0.012332990750256857
27,27,0.018548570846826488,-0.07812500000000011,0.007635844748138347,0.07005076142131975
28,28,0.025699266754991075,-0.07812500000000011,0.017776056025405447,0.01707779886148022
29,29,0.025699266754991075,-0.06336633663366324,0.027296335911553476,-0.06902985074626868
30,30,0.020920974902438168,-0.06902985074626868,0.017729912580268008,-0.009018036072144273
31,31,0.014705394805868539,-0.06902985074626868,0.01435169387871397,0.0020222446916076412
32,32,0.009272085437240256,-0.06902985074626868,0.003391662881821793,0.037336024217961575
33,33,0.014705394805868539,-0.06902985074626868,0.006504147291195583,-0.036964980544746985
34,34,0.007177617720932249,-0.06902985074626868,-0.0011018157838552374,0.0030303030303029657
35,35,0.007681646890279911,-0.06902985074626868,0.0055378481825413845,0.01309164149043311
36,36,0.007681646890279911,-0.06902985074626868,0.003992889710020217,-0.05367793240556669
37,37,0.0025262738609553035,-0.06902985074626868,-0.0026082026055621356,0.010504201680672232
38,38,0.0025262738609553035,-0.06902985074626868,-0.00856285857962689,-0.013513513513513412
39,39,-0.003497895690268316,-0.06902985074626868,-0.011621989817126251,0.03266596417281354
40,40,0.0025262738609553035,-0.05367793240556669,-0.0014524083252180297,-0.005102040816326603
41,41,0.0025262738609553035,-0.05367793240556669,-0.001060808799636263,0.013333333333333414
42,42,0.006767252355487599,-0.05367793240556669,7.030006453631454e-05,0.009109311740890674
43,43,0.00606980738559682,-0.05367793240556669,-0.0027523711831707754,0.013039117352056068
44,44,0.009806756710781453,-0.05367793240556669,0.00224803860650953,-0.001980198019801938
45,45,0.009806756710781453,-0.05367793240556669,0.0017469885014990399,-0.010912698412698357
46,46,0.0035645568605443675,-0.05367793240556669,-0.0006534454888141068,-0.043129388164493625
47,47,0.0035645568605443675,-0.043129388164493625,0.00040140893529319946,-0.002096436058700165
48,48,-0.0020383170392510516,-0.043129388164493625,-0.0008586548386440402,-0.0357142857142857
49,49,-0.0020383170392510516,-0.043129388164493625,-0.0030787320587212694,-0.009803921568627435
50,50,-0.0035992384375133843,-0.043129388164493625,-0.007325720632865367,0.01320132013201331
51,51,-0.0020383170392510516,-0.043129388164493625,-0.0054953845380313745,0.021715526601520006
52,52,-0.0020383170392510516,-0.043129388164493625,-0.004657165211212715,-0.038257173219978687
53,53,-0.0059501788136638,-0.043129388164493625,-0.009393813707299652,-0.029834254143646554
54,54,-0.010358309990662895,-0.043129388164493625,-0.013681150856869911,0.012528473804100366
55,55,-0.010358309990662895,-0.043129388164493625,-0.012230283674479682,-0.007874015748031527
56,56,-0.00883896865832948,-0.043129388164493625,-0.011926415408013001,0.03514739229024949
57,57,-0.004985225903365846,-0.038257173219978687,-0.004098737362538689,-0.012048192771084468
58,58,-0.00883896865832948,-0.038257173219978687,-0.005093913033777119,0.03104212860310434
59,59,0.0023272290280344195,-0.038257173219978687,0.0015817283979618845,-0.0010752688172044691
60,60,0.005726602493447948,-0.038257173219978687,0.0024545936731041815,-0.019375672766415473
61,61,-0.0044746422826179985,-0.038257173219978687,-0.0008031056167386973,0.004390779363337094
62,62,-0.0044746422826179985,-0.038257173219978687,-0.002535580340556988,-0.003278688524590288
63,63,-0.0021769786708973784,-0.029834254143646554,0.0009622681289818509,-0.05043859649122797
64,64,-0.0021769786708973784,-0.05043859649122797,-0.0010981661057762903,0.046189376443418056
65,65,-0.0021769786708973784,-0.05043859649122797,0.0022679241581554785,-0.00993377483443707
66,66,-0.0021769786708973784,-0.05043859649122797,0.0020619482495149244,-0.04013377926421418
67,67,-0.006606231679513679,-0.05043859649122797,-0.005466168905931442,-0.025551684088269324
68,68,-0.006606231679513679,-0.05043859649122797,-0.006816518037649928,0.06317044100119182
69,69,-0.006606231679513679,-0.05043859649122797,-0.0036036867978411794,-0.07735426008968604
70,70,-0.014654723800426272,-0.07735426008968604,-0.011231585925089337,0.01579586877278238
71,71,-0.006606231679513679,-0.07735426008968604,-0.007714431771169553,-0.05502392344497597
72,72,-0.017742729461353197,-0.07735426008968604,-0.01365590205200086,-0.011392405063291233
73,73,-0.018472044575780278,-0.07735426008968604,-0.014467273705870953,0.03713188220230475
74,74,-0.010663089948864151,-0.07735426008968604,-0.005710225836517681,-0.013580246913580177
75,75,-0.012486325988435704,-0.07735426008968604,-0.011687188172217504,-0.01627033792240299
76,76,-0.014925292417991584,-0.07735426008968604,-0.012320844481014096,0.03944020356234092
77,77,-0.012486325988435704,-0.07735426008968604,-0.004363446198358588,0.011015911872705002
78,78,-0.00018824659529311557,-0.07735426008968604,-0.0007066866022611542,-0.021791767554479386
79,79,-0.012486325988435704,-0.07735426008968604,-0.009202907457828275,0.1621287128712872
