,周数,中位数,众数,移动平均值,实际收益值
0,0,0.016196566134243855,-0.08268887566924443,0.007224504247923666,-0.0012012012012011758
1,1,0.0035985595673657285,-0.08268887566924443,-0.0075158690367534055,-0.12086590499098016
2,2,0.0035985595673657285,-0.12086590499098016,-0.013086722374062354,-0.10054719562243494
3,3,-0.016750062285211094,-0.12086590499098016,-0.02591757897115522,0.02129277566539919
4,4,0.0035985595673657285,-0.12086590499098016,-0.019592899105764748,-0.09754281459419215
5,5,-0.016750062285211094,-0.12086590499098016,-0.030187012598777225,-0.002475247524752423
6,6,-0.0018382243629767993,-0.12086590499098016,-0.022165649784328022,0.052109181141439274
7,7,-0.0018382243629767993,-0.12086590499098016,-0.0193542128634396,-0.03694968553459124
8,8,-0.0018382243629767993,-0.12086590499098016,-0.019819289079976623,-0.022857142857142805
9,9,-0.012666195190947614,-0.12086590499098016,-0.028125945774067868,0.0033416875522137967
10,10,-0.012666195190947614,-0.12086590499098016,-0.03056955479662426,0.061615320566194856
11,11,-0.012666195190947614,-0.12086590499098016,-0.024287902619884654,0.0007843137254901793
12,12,-0.0008454668996311218,-0.10054719562243494,-0.012122880748237625,0.010971786833855844
13,13,0.002063000638851988,-0.09754281459419215,-0.0009709825026085453,0.016279069767441787
14,14,0.002063000638851988,-0.09754281459419215,-0.0014723530924042865,0.048817696414950464
15,15,0.007156737193034821,-0.03694968553459124,0.013163698008509972,-0.016000000000000045
16,16,0.007156737193034821,-0.03694968553459124,0.01181122276098521,0.005912786400591284
17,17,0.00462723697640254,-0.03694968553459124,0.007191583286900413,0.022042615723732603
18,18,0.008442286617223564,-0.022857142857142805,0.013090813412732799,0.04672897196261685
19,19,0.013625428300648817,-0.016000000000000045,0.020049424894708765,0.0542582417582417
20,20,0.019160842745587194,-0.016000000000000045,0.025141080315311554,-0.0208469055374593
21,21,0.013625428300648817,-0.0208469055374593,0.016894857704946135,0.0339321357285429
22,22,0.019160842745587194,-0.0208469055374593,0.02020963990525141,-0.028314028314028284
23,23,0.019160842745587194,-0.028314028314028284,0.016281058390462996,0.00860927152317886
24,24,0.015325943623455731,-0.028314028314028284,0.0155140785660367,0.015101772816808957
25,25,0.011855522169993908,-0.028314028314028284,0.012142486206222552,0.026520051746442324
26,26,0.018572194270270778,-0.028314028314028284,0.016394491380866787,0.025834908632640322
27,27,0.02393876217818646,-0.028314028314028284,0.018386703604071693,0.023955773955773987
28,28,0.024895341294207153,-0.028314028314028284,0.018578019427275834,0.06778644271145765
29,29,0.024895341294207153,-0.028314028314028284,0.02068376650215991,-0.011797752808988812
30,30,0.01952877338629147,-0.028314028314028284,0.01407816704543686,-0.014781125639568026
31,31,0.01952877338629147,-0.028314028314028284,0.014684745035225988,0.002308136180034778
32,32,0.011855522169993908,-0.028314028314028284,0.011522345080375175,-0.006908462867012147
33,33,0.011855522169993908,-0.014781125639568026,0.01366290162507679,0.08695652173913043
34,34,0.01952877338629147,-0.014781125639568026,0.021497626646671947,0.004266666666666576
35,35,0.014111220311220281,-0.014781125639568026,0.020414116031657707,0.010621348911311888
36,36,0.007444007788989232,-0.014781125639568026,0.018824245748144664,-0.021544929059379932
37,37,0.003287401423350677,-0.021544929059379932,0.014086261978942638,0.0891514500537057
38,38,0.003287401423350677,-0.021544929059379932,0.02060582958873581,-0.04092702169625256
39,39,-0.0023001633434886846,-0.04092702169625256,0.00973448314796479,0.04730077120822631
40,40,0.003287401423350677,-0.04092702169625256,0.015644335549686302,-0.025527736867943032
41,41,0.003287401423350677,-0.04092702169625256,0.0145696744268488,0.011586901763224022
42,42,0.007444007788989232,-0.04092702169625256,0.015497550985167724,0.02589641434262964
43,43,0.011104125337267956,-0.04092702169625256,0.0187780387061319,-0.030582524271844783
44,44,0.007444007788989232,-0.04092702169625256,0.0070241341050343836,0.0005007511266901134
45,45,0.005561050019001001,-0.04092702169625256,0.006647542551036736,-0.03603603603603598
46,46,-0.01052208896634491,-0.04092702169625256,0.0019818040563019494,-0.014018691588785208
47,47,-0.006758970231047547,-0.04092702169625256,0.0027344278033614223,0.015271195365982239
48,48,-0.006758970231047547,-0.04092702169625256,-0.004653597665410923,0.006224066390041361
49,49,0.003362408758365737,-0.03603603603603598,6.151114321846819e-05,-0.020618556701030855
50,50,-0.006758970231047547,-0.03603603603603598,-0.006730421647707249,0.0015789473684211124
51,51,0.001039849247555613,-0.03603603603603598,-0.004019753224070834,0.04046242774566471
52,52,0.001039849247555613,-0.03603603603603598,-0.0011322006258267653,-0.011111111111111233
53,53,-0.0053051799922105595,-0.03603603603603598,-0.004832953171200853,0.042900919305413864
54,54,0.001039849247555613,-0.03603603603603598,0.002515391186525012,0.039666993143976426
55,55,0.0039015068792312363,-0.03603603603603598,0.006432015388253644,-0.01789919924634946
56,56,0.0039015068792312363,-0.020618556701030855,0.008245699067222296,0.0009592326139088524
57,57,0.0039015068792312363,-0.020618556701030855,0.009743491487491703,-0.025874460948730364
58,58,0.0012690899911649825,-0.025874460948730364,0.005628925856020442,0.08509591736350224
59,59,0.0012690899911649825,-0.025874460948730364,0.013516110953366528,-0.005893019038984542
60,60,0.0012690899911649825,-0.025874460948730364,0.01498866471957116,-0.03283173734610118
61,61,-0.002466893212537845,-0.03283173734610118,0.011547596248118935,0.021216407355021182
62,62,-0.002466893212537845,-0.03283173734610118,0.009622994209054579,0.07848568790397042
63,63,0.011087819984465017,-0.03283173734610118,0.018582674110562747,0.011986301369863063
64,64,0.0064727669918859575,-0.03283173734610118,0.015491212317007664,0.0
65,65,0.0004796163069544262,-0.03283173734610118,0.01152451300261002,-0.0050761421319797375
66,66,0.0004796163069544262,-0.03283173734610118,0.012806818714046994,0.03698979591836739
67,67,0.005993150684931532,-0.03283173734610118,0.01640987504449285,0.0041000410004099165
68,68,0.00804317118513649,-0.03283173734610118,0.01940732523940688,0.0016333197223357577
69,69,0.002866680361372837,-0.03283173734610118,0.011061065475290227,-0.0138605788830004
70,70,0.002866680361372837,-0.03283173734610118,0.01026430949088864,0.04257957833815616
71,71,0.00804317118513649,-0.0138605788830004,0.017805441059314375,-0.014670896114194983
72,72,0.002866680361372837,-0.014670896114194983,0.01421671071239276,-0.018108651911468925
73,73,0.0008166598611678788,-0.018108651911468925,0.004557276730848823,0.05245901639344267
74,74,0.0008166598611678788,-0.018108651911468925,0.008604548233206786,-0.033878504672897235
75,75,-0.00172141120482199,-0.033878504672897235,0.005216697765917062,0.009270455461507475
76,76,0.002866680361372837,-0.033878504672897235,0.006651357525265783,0.03634185303514378
77,77,0.002866680361372837,-0.033878504672897235,0.006586563236943422,-0.011946050096339065
78,78,-0.005156365187001653,-0.033878504672897235,0.004981954127268523,-0.030031201248049904
79,79,-0.012903314489669733,-0.033878504672897235,0.001815502030229957,-0.013671089666264569
80,80,-0.012808569881301817,-0.033878504672897235,0.0018344509519035406,-0.018752547900529996
81,81,-0.014170992890229776,-0.033878504672897235,-0.004298761671965075,-0.022434565849605282
82,82,-0.015889870788866747,-0.033878504672897235,-0.005075128645506105,0.05652358691032717
83,83,-0.012808569881301817,-0.033878504672897235,0.002388095236673505,0.012872083668543857
84,84,-0.012808569881301817,-0.033878504672897235,-0.001570598035816377,-0.027799841143764863
85,85,-0.012808569881301817,-0.030031201248049904,-0.0009627316829031393,-0.03390522875817001
86,86,-0.01621181878339728,-0.03390522875817001,-0.005280300104870889,-0.002536997885835041
87,87,-0.01621181878339728,-0.03390522875817001,-0.00916818519696877,0.004662992793556568
88,88,-0.01621181878339728,-0.03390522875817001,-0.0075072809079792064,-0.010548523206751054
89,89,-0.012109806436507812,-0.03390522875817001,-0.005559013103849322,0.04307036247334762
90,90,-0.006542760546293048,-0.03390522875817001,0.00011513211011189642,0.03270645952575636
91,91,0.0010629974538607634,-0.03390522875817001,0.005261032852740532,0.03562945368171015
92,92,0.008767538231050212,-0.03390522875817001,0.011067434805872075,0.03975535168195715
93,93,0.008767538231050212,-0.03390522875817001,0.009390611283035075,-0.047058823529411674
94,94,0.0010629974538607634,-0.047058823529411674,0.003397520563239521,0.07793209876543208
95,95,0.018684726159656464,-0.047058823529411674,0.013970714554159214,-0.031496062992126074
96,96,0.018684726159656464,-0.047058823529411674,0.01421163113076361,-0.054323725055432336
97,97,0.018684726159656464,-0.054323725055432336,0.009032958413803879,-0.04064087534193041
98,98,0.011078968159502654,-0.054323725055432336,0.004502571600255183,-0.030142566191446108
99,99,0.001281946667155127,-0.054323725055432336,0.0025431673017856757,0.06677866442671146
100,100,0.001281946667155127,-0.054323725055432336,0.00491399749712206,0.018110236220472475
101,101,-0.006016164985486816,-0.054323725055432336,0.0034543751665936733,-0.03750966744006183
102,102,-0.030819314591786093,-0.054323725055432336,-0.003859536945583526,0.03214142225793494
103,103,-0.030819314591786093,-0.054323725055432336,-0.004620929887985748,-0.051771117166212605
104,104,-0.030819314591786093,-0.054323725055432336,-0.00509215925166584,-0.07512315270935954
105,105,-0.034502865216093956,-0.07512315270935954,-0.020397684399145,0.01819795827785176
106,106,-0.03382611681575397,-0.07512315270935954,-0.01542828227214722,-0.07367044463818663
107,107,-0.03382611681575397,-0.07512315270935954,-0.01736295423042265,-0.05317647058823525
108,108,-0.03382611681575397,-0.07512315270935954,-0.018616513755053132,0.08499005964214698
109,109,-0.009699715609794678,-0.07512315270935954,-0.0071032511716938255,0.0027485112230875987
110,110,-0.017380578108487116,-0.07512315270935954,-0.01350626649205621,0.0406578346276839
111,111,-0.017380578108487116,-0.07512315270935954,-0.011251506651335067,0.06145741878841082
112,112,0.010473234750469679,-0.07512315270935954,-0.0013547980284878026,-0.040115798180314265
113,113,-0.018683643478613333,-0.07512315270935954,-0.008580520072312725,-0.037052994398965935
114,114,-0.017152241587939168,-0.07512315270935954,-0.007108707795588054,0.06353467561521244
115,115,0.010473234750469679,-0.07367044463818663,0.006757075036869139,0.007572570466975167
116,116,0.0051605408450313825,-0.07367044463818663,0.005694536255781481,0.005845511482254721
117,117,0.006709040974614944,-0.05317647058823525,0.013646131867825618,-0.1353258613532587
118,118,0.006709040974614944,-0.1353258613532587,0.005431192791323272,-0.017762842054728636
119,119,0.0042970113526711595,-0.1353258613532587,-0.00484409737836429,0.029325513196480833
120,120,0.006709040974614944,-0.1353258613532587,-0.002186397181024965,0.029914529914530037
121,121,0.006709040974614944,-0.1353258613532587,-0.0032607276523403525,0.024435223605347976
122,122,0.006709040974614944,-0.1353258613532587,-0.006962947170646635,0.0040504050405040445
123,123,0.006709040974614944,-0.1353258613532587,-0.002546326848564806,-0.018377409233527573
124,124,0.006709040974614944,-0.1353258613532587,-0.0006787683320209695,-0.052054794520547815
125,125,0.004947958261379382,-0.1353258613532587,-0.012237715345596995,-0.04720616570327555
126,126,-0.006856218507112296,-0.1353258613532587,-0.017715588962622066,-0.039939332659251904
127,127,-0.018070125644128104,-0.1353258613532587,-0.02229407337677273,-0.0379146919431279
128,128,-0.018070125644128104,-0.052054794520547815,-0.01255295643575965,-0.10180623973727419
129,129,-0.02814605058832774,-0.10180623973727419,-0.0209572962040142,0.1535648994515539
130,130,-0.02814605058832774,-0.10180623973727419,-0.008533357578506897,-0.010036978341257332
131,131,-0.02814605058832774,-0.10180623973727419,-0.012528508404085634,0.006403415154749253
132,132,-0.02814605058832774,-0.10180623973727419,-0.014331689249145508,-0.11081654294803817
133,133,-0.0389270123011899,-0.11081654294803817,-0.025818384047999726,0.044722719141323794
134,134,-0.0389270123011899,-0.11081654294803817,-0.019508371210514585,-0.08789954337899539
135,135,-0.0389270123011899,-0.11081654294803817,-0.023092846096359344,0.020650813516896013
136,136,-0.023975835142192616,-0.11081654294803817,-0.01630714817434219,0.033108522378908815
137,137,-0.0018167815932540392,-0.11081654294803817,-0.009002362670526117,0.0005934718100889027
138,138,0.003498443482419078,-0.11081654294803817,-0.005151546295204439,-0.06998813760379595
139,139,0.003498443482419078,-0.11081654294803817,-0.0019697360818566136,0.04783163265306122
140,140,0.003498443482419078,-0.11081654294803817,-0.012543062761705881,0.023737066342057248
141,141,0.013527114335822633,-0.11081654294803817,-0.009165658293374424,-0.11593341260404287
142,142,0.010622142663492458,-0.11593341260404287,-0.02139934106925364,-0.014122394082044323
143,143,0.010622142663492458,-0.11593341260404287,-0.011729926182654254,0.034106412005457026
144,144,0.010622142663492458,-0.11593341260404287,-0.01279155689624093,-0.024406332453825924
145,145,0.010622142663492458,-0.11593341260404287,-0.006442235803723985,-0.04192021636240698
146,146,-0.00676446113597771,-0.11593341260404287,-0.012699338791654283,0.07410021171489066
147,147,-0.00676446113597771,-0.11593341260404287,-0.0086001698580561,-0.05978975032851512
148,148,-0.019264363267935125,-0.11593341260404287,-0.0146384920719165,-0.013976240391334806
149,149,-0.014049317236689564,-0.11593341260404287,-0.009037302350670387,-0.032600992204110495
150,150,-0.019264363267935125,-0.11593341260404287,-0.01708056483638756,-0.049084249084249076
151,151,-0.02850366232896821,-0.11593341260404287,-0.024362696379018188,-0.01926040061633282
152,152,-0.02183336653507937,-0.05978975032851512,-0.014695395180247187,-0.012568735271013366
153,153,-0.02183336653507937,-0.05978975032851512,-0.014540029299144091,-0.01670644391408121
154,154,-0.02183336653507937,-0.05978975032851512,-0.019621314891097915,0.011326860841423994
155,155,-0.017983422265207015,-0.05978975032851512,-0.016047995561572926,0.03599999999999994
156,156,-0.015341342152708009,-0.05978975032851512,-0.00825597392533223,-0.021621621621621574
157,157,-0.017983422265207015,-0.05978975032851512,-0.017828157258983453,0.0
158,158,-0.015341342152708009,-0.049084249084249076,-0.011849182226131941,0.07655880031570644
159,159,-0.014637589592547288,-0.049084249084249076,-0.0027956781554278167,0.025659824046920795
160,160,-0.006284367635506683,-0.049084249084249076,0.003030403469675313,0.09363831308077201
161,161,0.005663430420711997,-0.021621621621621574,0.017302659686177425,-0.04052287581699353
162,162,0.005663430420711997,-0.04052287581699353,0.015176412166111352,0.02656675749318805
163,163,0.018493342444172396,-0.04052287581699353,0.01908996144253149,0.0895819508958196
164,164,0.02611329077005442,-0.04052287581699353,0.029718800923521572,-0.0627283800243606
165,165,0.02611329077005442,-0.0627283800243606,0.022313276836943112,0.06172839506172835
166,166,0.02611329077005442,-0.0627283800243606,0.024886116343115956,-0.022643818849449156
167,167,0.02611329077005442,-0.0627283800243606,0.024783896620333194,-0.001878522229179783
168,168,0.02611329077005442,-0.0627283800243606,0.024596044397415216,-0.08657465495608525
169,169,0.011890650908870506,-0.08657465495608525,0.008282698870236048,0.0267857142857142
170,170,0.012344117632004133,-0.08657465495608525,0.008395287894115389,-0.0575250836120401
